Method,Total posts,High risk,Medium risk,Low risk,High %,Medium %,Low %,Avg latency ms,Accuracy,F1 (high),F1 (macro),Note
Rule-based,41933,1320,3628,36985,3.1,8.7,88.2,0.0,0.5093,0.1405,0.3188,"Proxy GT (41933 posts aligned); labels: ['low', 'medium', 'high']"
Embedding,41933,12032,13123,16778,28.7,31.3,40.0,0.0,0.4427,0.1625,0.3886,"Proxy GT (41933 posts aligned); labels: ['low', 'medium', 'high']"
Ensemble,41933,1696,23646,16591,4.0,56.4,39.6,0.0,0.5185,0.1441,0.4129,"Proxy GT (41933 posts aligned); labels: ['low', 'medium', 'high']"
